Technologie,itération,Capacité,zipf_parameter,Nombre de Fogs, Hit rate, Ratio OriginUser,Latence_P50,Latence_P90,Latence_P99
LRU,1000000,300000000,0.1,4,0.10094570531869912,88.80098410160402,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.09391395904964725,89.64768244683103,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,4,0.08221867058861902,91.248412871327,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,4,0.08260226975949096,91.1916614206871,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.07154459495509381,92.20632153318445,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.07317498352779887,92.089631399239,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.07230829882529398,92.3090774203799,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.10103087269064012,88.84221626460655,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.06738950357966984,92.69503251029782,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.06445288785304125,93.0177900162172,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.07277577918187747,92.11932856256058,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.066672976754229,92.61734314166891,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.1260870339481073,85.24173566788342,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.1197028608118713,86.1851922610826,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.10155066393369575,88.87116768403631,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.12479802894100213,85.4569213263346,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.12434684912289044,85.83059736610714,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.11928825368892905,86.13415485700703,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.06908030392485544,92.65871665999568,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.07978128126196675,91.30095643382391,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.07841453774621117,91.63681944327942,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.07645787187229222,91.77195172071937,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.07956231233904179,91.48583021508408,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.07900096791624853,91.49019903197029,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.10192252817805679,88.5736659595886,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.12129552734606715,85.68194941060972,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.08493092253370933,90.89385242765661,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.1252163091146142,85.27121667318475,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.08429711944632745,90.92995476366626,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.06718393643675474,92.57328813583565,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.12291711686643202,85.44840366311237,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.10070563197755293,88.81671504404972,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.07322352413125133,92.15429818788829,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.06682666445980055,92.76968626865239,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.09829438114135665,89.09286394736955,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.10339047912878124,88.50848869221656,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.07331804213639866,92.06091470463609,284.0040000000008,284.00400000001537,284.00400000001537
