Technologie,itération,Capacité,zipf_parameter,Nombre de Fogs, Hit rate, Ratio OriginUser,Latence_P50,Latence_P90,Latence_P99
LRU,1000000,500000000,0.1,3,0.15192748476895124,81.98038486808655,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,4,0.09134390250367408,89.75962551780057,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,3,0.15038792834682843,82.28680854772588,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,4,0.09281032273269602,89.41586000899512,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,4,0.10109638579093454,88.68542968543161,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,4,0.08624097312568463,90.18372846388877,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,4,0.09676589478290955,89.2920337478076,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,4,0.08950310467397236,89.62783364090913,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.125698720985315,85.03713564260579,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,4,0.0887598604146506,89.59946327868,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.12758644150020262,85.2073401076021,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,4,0.09009543385699603,89.63401046970984,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,4,0.08658269521891857,90.17614882289334,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.1229523229191933,85.78487565421355,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.08716657894040397,90.15422721316916,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.09628395777478907,89.18217574424831,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.08948766492023658,89.80378232558408,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.08619130924845311,90.10462516629559,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.08819111987233644,89.6851679545378,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.09188168844860385,89.70867483851066,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.12525921258538114,85.42984118884354,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.09278976893990785,89.70552183603222,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.0932066720815529,89.33569895551747,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.10452183090079918,88.18088337347359,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.10198847117646538,88.21317022240106,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.15444031440882616,81.0261032152858,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.15544837695344824,81.13376387742531,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,5,0.08524750934454581,90.00195476395952,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,4,0.12215566377478282,86.0463898247221,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.15467245554964854,81.12274717054716,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.15464194902726036,81.2799051030446,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.1025492092321119,88.49538289101771,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,5,0.09294596028051152,89.25502176706772,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,4,0.15171469224875683,81.80635855625455,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.1030454071442459,88.14015643250504,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.15154421072198895,81.45349145772278,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.08508160559447124,89.966038026069,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.15237806100192178,81.25774911474976,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.153692897141173,81.11640870061197,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.12706055912074943,84.86414649586499,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.129483866203943,84.92679447989255,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.0890120361818475,89.83669965072345,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,5,0.1012442937879799,88.70138789120912,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.1259774109470026,85.35086538183693,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.12503698356154658,85.49744689041357,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.15007388307047445,81.33743394533936,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.08610771975957926,90.19059672898744,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.08885401695362684,89.59475043087045,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,6,0.08746099815374139,90.1041388050137,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.09309953286973302,89.18434858228392,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.09545290030984896,89.31585641545988,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.09700801566096134,89.07678159414088,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,5,0.15322383370517623,80.67461111248049,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,5,0.12715487315238555,84.72712392890303,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.12780632387776508,84.80777865891542,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.1308956312040828,84.43020542293354,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.10334968523087977,87.85031141199117,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.09688710574075,88.81458460206478,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,7,0.08968829440067554,89.7555433715807,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.1056910090533429,87.98363675627353,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.1543627711760539,80.57601237815078,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,7,0.08604612927470875,89.92827625451527,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.10067792018093577,88.74348179777137,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.12683890174347487,84.49191226700098,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.1499674098780366,80.99683486884969,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,7,0.08771141649048626,90.08594938292075,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.14468257605132362,81.80757313013581,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,6,0.09360007295040255,89.51593078932318,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.10485087378183147,87.8742189425691,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.12766089181890014,84.6980621464705,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.15202347453694184,80.86411534722771,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,6,0.14937043621350807,80.78683765373039,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,6,0.11961983510067352,85.88230206099398,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,6,0.1037761693929673,88.18746907189993,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,7,0.10707752754136352,87.614406059488,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,7,0.09592129233141744,88.83447893630667,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,7,0.10410394782577959,88.23193912898418,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,7,0.08726107541029827,90.22431286859145,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,50000000,0.1,7,0.08891071978416738,89.715843776423,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,7,0.10221541362243695,88.45637210946006,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,7,0.10319434886689134,87.96891279219051,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,7,0.1255028228652082,84.80355816920421,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,7,0.09528020565552699,89.03901394795626,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,7,0.12483773896624971,85.20182397662094,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,7,0.12584019572917066,84.8847652192931,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,7,0.12328189834024897,85.3576090274588,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,7,0.09453190043451784,89.42786657115902,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,7,0.09765025941747116,88.89581755402071,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,500000000,0.1,7,0.15008459938665444,80.6260375167433,284.00399999998626,284.00400000001537,284.00400000001537
LRU,1000000,100000000,0.1,7,0.09640996969072772,89.17085365416763,284.0040000000008,284.00400000001537,284.00400000001537
LRU,1000000,150000000,0.1,7,0.10503343540291944,87.57432624559101,284.0039999999999,284.00400000001537,284.00400000001537
LRU,1000000,300000000,0.1,7,0.1264023162357631,84.57102305347743,284.00399999998626,284.00400000001537,284.00400000001537
